"2016-07-20 at 15:46"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-20 15:46:38 371.40 14.70 12.36 50.34 98.01 0.0690 0.0899
2016-07-20 15:46:39 371.45 14.75 12.41 50.34 98.03 0.0690 0.0901
2016-07-20 15:46:40 371.92 14.81 12.46 50.34 98.01 0.0691 0.0903
2016-07-20 15:46:41 365.58 14.84 12.50 50.34 98.01 0.0682 0.0905
2016-07-20 15:46:43 384.49 14.88 12.54 50.34 98.01 0.0708 0.0906
2016-07-20 15:46:44 381.38 14.88 12.53 50.34 98.01 0.0704 0.0906
2016-07-20 15:46:45 383.30 15.08 12.75 50.34 98.03 0.0707 0.0915
2016-07-20 15:46:46 384.31 15.17 12.83 50.34 98.03 0.0708 0.0919
2016-07-20 15:46:47 385.15 15.30 12.97 50.34 98.03 0.0709 0.0924
2016-07-20 15:46:48 376.32 15.51 13.17 50.34 98.00 0.0697 0.0932
2016-07-20 15:46:49 378.15 15.75 13.41 50.34 98.02 0.0700 0.0942
2016-07-20 15:46:50 380.84 15.87 13.53 50.34 98.02 0.0703 0.0948
2016-07-20 15:46:51 380.35 15.96 13.61 50.34 98.00 0.0703 0.0951
2016-07-20 15:46:52 381.37 16.13 13.77 50.34 98.02 0.0704 0.0958
2016-07-20 15:46:53 381.79 16.24 13.88 50.34 98.02 0.0705 0.0962
2016-07-20 15:46:54 382.04 16.35 13.98 50.34 98.02 0.0705 0.0967
2016-07-20 15:46:55 382.71 16.47 14.10 50.34 98.02 0.0706 0.0972
2016-07-20 15:46:56 383.31 16.57 14.19 50.34 98.03 0.0707 0.0976
2016-07-20 15:46:57 384.16 16.65 14.26 50.34 98.01 0.0708 0.0979
2016-07-20 15:46:58 385.08 16.73 14.33 50.34 98.01 0.0709 0.0982
2016-07-20 15:46:59 385.89 16.82 14.43 50.34 98.04 0.0711 0.0986
2016-07-20 15:47:00 383.64 16.90 14.50 50.34 98.02 0.0707 0.0989
2016-07-20 15:47:01 386.51 16.98 14.56 50.34 98.02 0.0711 0.0992
2016-07-20 15:47:02 387.24 17.03 14.62 50.34 98.04 0.0712 0.0994
2016-07-20 15:47:03 387.77 17.09 14.67 50.34 98.04 0.0713 0.0996
2016-07-20 15:47:04 389.43 17.15 14.73 50.34 98.02 0.0715 0.0999
2016-07-20 15:47:05 393.61 17.22 14.78 50.34 98.00 0.0721 0.1001
2016-07-20 15:47:06 392.16 17.24 14.80 50.34 98.04 0.0719 0.1002
