"2016-07-15 at 17:05"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-15 17:05:42 381.56 9.13 5.48 50.34 99.21 0.0713 0.0646
2016-07-15 17:05:43 379.90 8.97 5.23 50.34 99.19 0.0711 0.0638
2016-07-15 17:05:44 379.39 9.00 5.27 50.34 99.19 0.0710 0.0639
2016-07-15 17:05:45 378.89 9.16 5.52 50.34 99.17 0.0709 0.0647
2016-07-15 17:05:46 380.30 9.44 5.96 50.32 99.18 0.0711 0.0662
2016-07-15 17:05:47 382.05 9.84 6.55 50.32 99.17 0.0713 0.0683
2016-07-15 17:05:48 383.04 10.28 7.20 50.32 99.19 0.0715 0.0705
2016-07-15 17:05:49 384.84 10.80 7.93 50.32 99.21 0.0718 0.0731
2016-07-15 17:05:50 386.87 11.24 8.51 50.32 99.19 0.0720 0.0752
2016-07-15 17:05:51 388.21 11.56 8.92 50.32 99.19 0.0722 0.0768
2016-07-15 17:05:52 389.28 11.75 9.16 50.32 99.19 0.0724 0.0776
2016-07-15 17:05:53 390.90 12.07 9.56 50.32 99.17 0.0726 0.0791
2016-07-15 17:05:54 393.00 12.35 9.91 50.32 99.17 0.0729 0.0805
2016-07-15 17:05:55 394.36 12.50 10.09 50.32 99.19 0.0731 0.0812
2016-07-15 17:05:56 397.03 12.79 10.44 50.32 99.19 0.0734 0.0825
2016-07-15 17:05:57 399.01 13.01 10.69 50.32 99.19 0.0737 0.0835
2016-07-15 17:05:58 401.32 13.19 10.89 50.32 99.21 0.0740 0.0843
2016-07-15 17:05:59 403.26 13.40 11.13 50.32 99.19 0.0743 0.0852
2016-07-15 17:06:00 405.27 13.60 11.35 50.32 99.17 0.0745 0.0861
2016-07-15 17:06:01 406.03 13.70 11.47 50.32 99.19 0.0747 0.0866
2016-07-15 17:06:02 407.25 13.81 11.59 50.32 99.21 0.0748 0.0871
2016-07-15 17:06:03 408.51 13.98 11.77 50.32 99.21 0.0750 0.0878
2016-07-15 17:06:04 410.09 14.04 11.84 50.32 99.21 0.0752 0.0881
2016-07-15 17:06:05 411.30 14.16 11.97 50.32 99.21 0.0754 0.0886
2016-07-15 17:06:06 413.11 14.27 12.09 50.32 99.21 0.0756 0.0891
2016-07-15 17:06:07 414.54 14.39 12.21 50.32 99.18 0.0758 0.0895
2016-07-15 17:06:08 415.19 14.46 12.29 50.32 99.18 0.0759 0.0899
2016-07-15 17:06:09 416.64 14.57 12.40 50.32 99.21 0.0761 0.0903
2016-07-15 17:06:10 417.93 14.64 12.48 50.32 99.18 0.0763 0.0906
2016-07-15 17:06:11 418.59 14.71 12.55 50.32 99.21 0.0764 0.0910
2016-07-15 17:06:12 419.30 14.81 12.65 50.32 99.23 0.0765 0.0914
2016-07-15 17:06:13 421.44 14.91 12.75 50.32 99.23 0.0768 0.0918
2016-07-15 17:06:14 421.94 14.99 12.83 50.32 99.18 0.0768 0.0921
2016-07-15 17:06:15 422.63 15.05 12.90 50.32 99.21 0.0769 0.0924
2016-07-15 17:06:16 419.29 15.17 13.02 50.32 99.21 0.0765 0.0929
2016-07-15 17:06:17 426.10 15.18 13.03 50.32 99.18 0.0773 0.0929
2016-07-15 17:06:18 427.40 15.24 13.09 50.32 99.21 0.0775 0.0932
2016-07-15 17:06:19 428.82 15.28 13.13 50.32 99.21 0.0777 0.0934
2016-07-15 17:06:20 429.39 15.34 13.19 50.32 99.23 0.0778 0.0936
2016-07-15 17:06:21 434.59 15.36 13.21 50.32 99.21 0.0785 0.0937
2016-07-15 17:06:22 431.36 15.42 13.27 50.32 99.21 0.0781 0.0939
2016-07-15 17:06:23 429.35 15.48 13.32 50.32 99.18 0.0778 0.0941
2016-07-15 17:06:24 430.30 15.54 13.38 50.32 99.18 0.0779 0.0944
2016-07-15 17:06:25 430.47 15.57 13.42 50.32 99.21 0.0779 0.0946
2016-07-15 17:06:26 431.67 15.59 13.44 50.32 99.21 0.0781 0.0946
2016-07-15 17:06:27 431.71 15.63 13.48 50.32 99.23 0.0781 0.0948
2016-07-15 17:06:28 432.18 15.67 13.52 50.34 99.21 0.0782 0.0950
2016-07-15 17:06:29 432.99 15.71 13.55 50.34 99.21 0.0783 0.0951
2016-07-15 17:06:30 433.24 15.74 13.58 50.34 99.18 0.0783 0.0952
2016-07-15 17:06:31 433.97 15.80 13.64 50.34 99.18 0.0784 0.0955
2016-07-15 17:06:32 434.49 15.83 13.67 50.34 99.21 0.0785 0.0956
2016-07-15 17:06:33 435.92 15.87 13.71 50.34 99.18 0.0786 0.0958
2016-07-15 17:06:34 436.21 15.91 13.75 50.34 99.21 0.0787 0.0960
2016-07-15 17:06:35 436.91 15.96 13.80 50.34 99.23 0.0788 0.0962
2016-07-15 17:06:36 437.95 16.00 13.83 50.34 99.21 0.0789 0.0963
2016-07-15 17:06:37 438.86 16.04 13.87 50.34 99.18 0.0790 0.0965
2016-07-15 17:06:38 438.97 16.08 13.91 50.34 99.21 0.0791 0.0966
2016-07-15 17:06:39 439.17 16.11 13.94 50.34 99.21 0.0791 0.0968
2016-07-15 17:06:40 439.86 16.14 13.97 50.34 99.21 0.0792 0.0969
2016-07-15 17:06:41 440.50 16.18 14.00 50.34 99.21 0.0793 0.0970
2016-07-15 17:06:42 440.92 16.21 14.03 50.34 99.21 0.0793 0.0972
2016-07-15 17:06:43 441.19 16.24 14.07 50.34 99.21 0.0793 0.0973
2016-07-15 17:06:44 441.45 16.26 14.09 50.34 99.21 0.0794 0.0974
2016-07-15 17:06:45 441.31 16.27 14.10 50.34 99.21 0.0794 0.0974
2016-07-15 17:06:46 442.31 16.31 14.13 50.34 99.21 0.0795 0.0976
2016-07-15 17:06:47 443.08 16.34 14.16 50.34 99.21 0.0796 0.0977
2016-07-15 17:06:48 444.06 16.37 14.19 50.34 99.21 0.0797 0.0978
2016-07-15 17:06:49 444.34 16.38 14.20 50.34 99.23 0.0798 0.0979
2016-07-15 17:06:50 445.49 16.42 14.24 50.34 99.21 0.0799 0.0980
2016-07-15 17:06:51 445.13 16.44 14.26 50.34 99.23 0.0799 0.0981
2016-07-15 17:06:52 445.52 16.46 14.28 50.34 99.21 0.0799 0.0982
2016-07-15 17:06:53 445.71 16.47 14.28 50.34 99.18 0.0799 0.0982
2016-07-15 17:06:54 446.06 16.50 14.31 50.34 99.21 0.0800 0.0984
2016-07-15 17:06:55 446.46 16.52 14.32 50.34 99.21 0.0800 0.0984
2016-07-15 17:06:56 447.01 16.53 14.33 50.34 99.18 0.0801 0.0985
2016-07-15 17:06:57 447.28 16.55 14.36 50.34 99.23 0.0802 0.0986
2016-07-15 17:06:58 447.78 16.56 14.37 50.34 99.23 0.0802 0.0986
2016-07-15 17:06:59 448.05 16.58 14.38 50.34 99.21 0.0802 0.0987
2016-07-15 17:07:00 447.94 16.59 14.40 50.34 99.21 0.0802 0.0987
