"2016-07-23 at 10:56"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-23 10:56:04 365.66 15.84 13.25 50.32 96.46 0.0671 0.0932
2016-07-23 10:56:05 366.18 15.90 13.30 50.32 96.44 0.0672 0.0934
2016-07-23 10:56:06 364.20 15.90 13.31 50.32 96.46 0.0669 0.0935
2016-07-23 10:56:07 366.48 15.97 13.37 50.32 96.44 0.0672 0.0937
2016-07-23 10:56:08 366.22 16.02 13.42 50.32 96.44 0.0672 0.0939
2016-07-23 10:56:09 366.19 16.06 13.45 50.32 96.44 0.0672 0.0941
2016-07-23 10:56:10 365.21 16.08 13.49 50.32 96.48 0.0671 0.0942
2016-07-23 10:56:11 365.83 16.14 13.53 50.32 96.44 0.0671 0.0944
2016-07-23 10:56:12 365.94 16.13 13.53 50.32 96.47 0.0672 0.0944
2016-07-23 10:56:13 366.02 16.11 13.51 50.32 96.46 0.0672 0.0943
2016-07-23 10:56:14 366.29 16.12 13.52 50.32 96.45 0.0672 0.0943
2016-07-23 10:56:15 366.60 16.11 13.51 50.34 96.46 0.0673 0.0943
2016-07-23 10:56:16 366.24 16.14 13.55 50.32 96.50 0.0672 0.0945
2016-07-23 10:56:17 366.17 16.23 13.63 50.32 96.51 0.0672 0.0948
2016-07-23 10:56:18 365.31 16.36 13.75 50.32 96.51 0.0671 0.0953
2016-07-23 10:56:19 364.97 16.54 13.92 50.32 96.53 0.0671 0.0961
2016-07-23 10:56:20 365.45 16.72 14.09 50.32 96.51 0.0671 0.0968
2016-07-23 10:56:21 365.39 16.96 14.30 50.34 96.49 0.0671 0.0977
2016-07-23 10:56:22 366.08 17.22 14.54 50.34 96.49 0.0672 0.0987
2016-07-23 10:56:23 366.54 17.44 14.75 50.32 96.53 0.0673 0.0996
2016-07-23 10:56:24 367.57 17.66 14.94 50.32 96.53 0.0674 0.1004
