"2016-07-20 at 16:01"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-20 16:01:32 374.19 12.84 10.32 50.32 98.02 0.0694 0.0818
2016-07-20 16:01:33 374.85 12.92 10.41 50.32 98.02 0.0695 0.0822
2016-07-20 16:01:34 375.14 12.99 10.49 50.32 98.02 0.0695 0.0825
2016-07-20 16:01:35 374.79 13.00 10.51 50.32 98.04 0.0695 0.0825
2016-07-20 16:01:36 375.44 12.99 10.49 50.32 98.04 0.0696 0.0825
2016-07-20 16:01:37 378.91 12.95 10.45 50.34 98.03 0.0701 0.0823
2016-07-20 16:01:38 386.09 12.90 10.39 50.34 98.03 0.0710 0.0821
2016-07-20 16:01:39 393.00 12.96 10.46 50.34 98.03 0.0720 0.0823
2016-07-20 16:01:40 400.32 13.11 10.63 50.34 98.06 0.0730 0.0830
2016-07-20 16:01:41 407.13 13.35 10.90 50.34 98.04 0.0739 0.0841
2016-07-20 16:01:42 410.95 13.63 11.22 50.34 98.04 0.0744 0.0853
2016-07-20 16:01:43 411.20 13.97 11.59 50.34 98.04 0.0744 0.0868
2016-07-20 16:01:44 411.80 14.25 11.89 50.34 98.02 0.0745 0.0880
2016-07-20 16:01:45 413.48 14.54 12.19 50.34 98.02 0.0747 0.0892
2016-07-20 16:01:46 414.51 14.76 12.42 50.34 98.04 0.0749 0.0902
2016-07-20 16:01:47 415.89 14.99 12.66 50.34 98.06 0.0751 0.0912
2016-07-20 16:01:48 417.25 15.18 12.85 50.34 98.06 0.0752 0.0919
2016-07-20 16:01:49 418.75 15.36 13.03 50.34 98.06 0.0754 0.0927
2016-07-20 16:01:50 420.21 15.51 13.18 50.34 98.03 0.0756 0.0933
2016-07-20 16:01:51 421.75 15.67 13.33 50.34 98.03 0.0758 0.0939
2016-07-20 16:01:52 422.73 15.78 13.44 50.34 98.03 0.0760 0.0944
2016-07-20 16:01:53 424.02 15.90 13.56 50.34 98.03 0.0761 0.0949
2016-07-20 16:01:54 425.34 16.00 13.66 50.34 98.06 0.0763 0.0953
2016-07-20 16:01:55 425.78 16.10 13.75 50.34 98.06 0.0764 0.0957
2016-07-20 16:01:56 427.11 16.19 13.84 50.34 98.08 0.0766 0.0961
2016-07-20 16:01:57 428.51 16.29 13.93 50.34 98.06 0.0767 0.0965
2016-07-20 16:01:58 430.05 16.39 14.02 50.34 98.03 0.0769 0.0968
2016-07-20 16:01:59 431.52 16.47 14.10 50.34 98.01 0.0771 0.0972
2016-07-20 16:02:00 432.25 16.54 14.17 50.34 98.03 0.0772 0.0975
2016-07-20 16:02:01 432.99 16.58 14.20 50.34 98.03 0.0773 0.0976
2016-07-20 16:02:02 433.61 16.65 14.27 50.34 98.06 0.0774 0.0979
2016-07-20 16:02:03 434.71 16.70 14.31 50.34 98.06 0.0775 0.0981
2016-07-20 16:02:04 434.88 16.76 14.37 50.34 98.06 0.0776 0.0983
2016-07-20 16:02:05 435.77 16.83 14.43 50.34 98.06 0.0777 0.0986
2016-07-20 16:02:06 436.72 16.88 14.49 50.34 98.06 0.0778 0.0988
2016-07-20 16:02:07 437.63 16.94 14.53 50.34 98.01 0.0779 0.0990
2016-07-20 16:02:08 438.35 17.01 14.59 50.34 98.03 0.0780 0.0993
2016-07-20 16:02:09 439.70 17.06 14.65 50.34 98.06 0.0782 0.0995
2016-07-20 16:02:10 440.42 17.10 14.69 50.34 98.06 0.0783 0.0997
2016-07-20 16:02:11 440.32 17.14 14.72 50.34 98.06 0.0783 0.0998
2016-07-20 16:02:12 442.45 17.18 14.76 50.34 98.06 0.0785 0.1000
2016-07-20 16:02:13 442.20 17.23 14.80 50.34 98.06 0.0785 0.1002
2016-07-20 16:02:14 444.33 17.25 14.81 50.37 98.03 0.0788 0.1002
2016-07-20 16:02:15 444.97 17.28 14.84 50.34 98.03 0.0788 0.1004
2016-07-20 16:02:16 446.01 17.31 14.88 50.34 98.07 0.0790 0.1005
2016-07-20 16:02:17 445.94 17.35 14.91 50.34 98.03 0.0790 0.1006
