"2016-07-23 at 16:01"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-23 16:01:15 380.58 22.68 18.95 50.37 96.92 0.0695 0.1188
2016-07-23 16:01:16 380.41 22.72 18.98 50.37 96.96 0.0695 0.1189
2016-07-23 16:01:17 380.63 22.78 19.02 50.37 96.94 0.0696 0.1191
2016-07-23 16:01:18 380.83 22.81 19.05 50.37 96.96 0.0696 0.1192
2016-07-23 16:01:19 381.43 22.84 19.06 50.37 96.94 0.0697 0.1193
2016-07-23 16:01:20 385.51 22.63 18.92 50.37 96.98 0.0702 0.1187
2016-07-23 16:01:21 388.95 22.64 18.93 50.37 96.95 0.0707 0.1187
2016-07-23 16:01:22 391.50 22.78 19.02 50.37 96.95 0.0710 0.1191
2016-07-23 16:01:23 394.31 22.93 19.14 50.37 97.00 0.0715 0.1197
2016-07-23 16:01:24 396.22 23.04 19.22 50.37 97.00 0.0717 0.1201
2016-07-23 16:01:25 394.47 23.50 19.53 50.37 97.00 0.0715 0.1216
2016-07-23 16:01:26 398.53 23.91 19.81 50.37 96.98 0.0720 0.1229
2016-07-23 16:01:27 401.00 24.27 20.05 50.37 96.98 0.0723 0.1241
2016-07-23 16:01:28 404.12 24.54 20.23 50.37 97.00 0.0728 0.1250
2016-07-23 16:01:29 407.31 24.84 20.42 50.37 96.96 0.0732 0.1259
2016-07-23 16:01:30 411.01 25.09 20.58 50.37 96.98 0.0737 0.1267
2016-07-23 16:01:31 414.32 25.32 20.74 50.37 97.00 0.0741 0.1275
2016-07-23 16:01:32 418.50 25.57 20.90 50.37 97.00 0.0747 0.1283
2016-07-23 16:01:33 421.69 25.77 21.03 50.37 97.00 0.0751 0.1289
2016-07-23 16:01:34 425.41 25.98 21.15 50.37 97.00 0.0756 0.1295
2016-07-23 16:01:35 428.98 26.17 21.28 50.37 97.00 0.0760 0.1301
2016-07-23 16:01:36 432.35 26.36 21.39 50.37 96.98 0.0764 0.1307
2016-07-23 16:01:37 434.46 26.50 21.48 50.34 96.98 0.0767 0.1311
2016-07-23 16:01:38 437.61 26.65 21.57 50.34 97.00 0.0771 0.1316
2016-07-23 16:01:39 439.66 26.78 21.65 50.34 97.00 0.0774 0.1320
2016-07-23 16:01:40 441.96 26.90 21.72 50.34 96.98 0.0777 0.1324
2016-07-23 16:01:41 444.67 27.03 21.80 50.34 96.98 0.0780 0.1328
2016-07-23 16:01:42 446.98 27.14 21.87 50.34 97.00 0.0783 0.1331
2016-07-23 16:01:43 449.66 27.27 21.95 50.37 96.98 0.0787 0.1335
2016-07-23 16:01:44 451.54 27.37 22.01 50.34 96.98 0.0789 0.1338
2016-07-23 16:01:45 454.19 27.48 22.08 50.34 97.02 0.0793 0.1342
2016-07-23 16:01:46 455.91 27.58 22.13 50.34 97.00 0.0795 0.1345
2016-07-23 16:01:47 458.36 27.68 22.19 50.34 97.00 0.0798 0.1348
2016-07-23 16:01:48 459.85 27.76 22.24 50.34 97.00 0.0800 0.1350
2016-07-23 16:01:49 462.86 27.84 22.29 50.34 97.00 0.0803 0.1353
2016-07-23 16:01:50 464.11 27.91 22.33 50.34 96.98 0.0805 0.1354
2016-07-23 16:01:51 466.30 27.99 22.37 50.37 96.96 0.0807 0.1356
2016-07-23 16:01:52 468.52 28.05 22.41 50.34 97.00 0.0810 0.1359
2016-07-23 16:01:53 469.52 28.08 22.43 50.34 96.98 0.0811 0.1360
2016-07-23 16:01:54 470.89 28.15 22.47 50.34 96.98 0.0813 0.1362
2016-07-23 16:01:55 472.43 28.20 22.50 50.34 96.98 0.0815 0.1363
2016-07-23 16:01:56 474.01 28.26 22.54 50.34 97.00 0.0817 0.1365
2016-07-23 16:01:57 476.27 28.33 22.57 50.34 96.96 0.0820 0.1367
2016-07-23 16:01:58 477.15 28.37 22.60 50.34 96.98 0.0821 0.1368
2016-07-23 16:01:59 478.74 28.41 22.62 50.34 97.00 0.0823 0.1369
2016-07-23 16:02:00 480.39 28.46 22.65 50.34 97.00 0.0825 0.1371
2016-07-23 16:02:01 481.93 28.51 22.67 50.34 96.98 0.0827 0.1372
2016-07-23 16:02:02 482.58 28.54 22.70 50.34 97.00 0.0828 0.1373
