"2016-07-15 at 16:23"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-15 16:23:16 382.63 9.50 6.05 50.32 99.18 0.0714 0.0665
2016-07-15 16:23:17 384.00 9.56 6.14 50.32 99.20 0.0716 0.0669
2016-07-15 16:23:18 386.15 9.67 6.31 50.32 99.18 0.0719 0.0674
2016-07-15 16:23:19 387.64 9.78 6.47 50.32 99.18 0.0721 0.0680
2016-07-15 16:23:20 388.31 9.84 6.56 50.32 99.16 0.0722 0.0683
2016-07-15 16:23:21 389.09 9.88 6.62 50.32 99.16 0.0723 0.0685
2016-07-15 16:23:22 388.63 10.15 7.01 50.32 99.16 0.0722 0.0699
2016-07-15 16:23:23 387.25 10.58 7.62 50.32 99.16 0.0721 0.0720
2016-07-15 16:23:24 385.88 11.21 8.47 50.32 99.16 0.0719 0.0751
2016-07-15 16:23:25 386.40 11.82 9.26 50.32 99.16 0.0720 0.0780
2016-07-15 16:23:26 387.71 12.64 10.24 50.32 99.14 0.0721 0.0817
2016-07-15 16:23:27 389.55 13.24 10.94 50.32 99.14 0.0724 0.0845
2016-07-15 16:23:28 392.44 13.74 11.50 50.32 99.14 0.0728 0.0867
2016-07-15 16:23:29 393.47 13.95 11.74 50.32 99.16 0.0729 0.0876
2016-07-15 16:23:30 395.11 14.43 12.25 50.32 99.16 0.0732 0.0897
2016-07-15 16:23:31 398.07 14.83 12.67 50.32 99.19 0.0736 0.0914
2016-07-15 16:23:32 398.20 15.10 12.94 50.32 99.16 0.0736 0.0926
2016-07-15 16:23:33 398.33 15.41 13.26 50.32 99.16 0.0736 0.0939
2016-07-15 16:23:34 401.18 15.81 13.65 50.32 99.16 0.0740 0.0955
2016-07-15 16:23:35 402.85 16.07 13.89 50.32 99.14 0.0742 0.0966
2016-07-15 16:23:36 402.26 16.29 14.10 50.32 99.16 0.0742 0.0975
2016-07-15 16:23:37 405.67 16.61 14.41 50.32 99.14 0.0746 0.0988
2016-07-15 16:23:38 406.78 16.76 14.55 50.32 99.16 0.0748 0.0994
2016-07-15 16:23:39 406.95 16.94 14.71 50.32 99.16 0.0748 0.1001
2016-07-15 16:23:40 408.54 17.16 14.91 50.32 99.16 0.0750 0.1010
2016-07-15 16:23:41 409.99 17.35 15.08 50.32 99.16 0.0752 0.1017
2016-07-15 16:23:42 410.41 17.44 15.16 50.32 99.14 0.0752 0.1020
2016-07-15 16:23:43 412.41 17.69 15.38 50.34 99.14 0.0755 0.1030
2016-07-15 16:23:44 412.82 17.88 15.55 50.34 99.16 0.0756 0.1038
2016-07-15 16:23:45 414.95 18.07 15.72 50.34 99.16 0.0759 0.1045
2016-07-15 16:23:46 416.50 18.25 15.88 50.34 99.16 0.0761 0.1052
2016-07-15 16:23:47 416.78 18.40 16.00 50.34 99.16 0.0761 0.1058
2016-07-15 16:23:48 417.77 18.53 16.11 50.34 99.14 0.0762 0.1062
2016-07-15 16:23:49 419.25 18.66 16.22 50.34 99.14 0.0764 0.1067
2016-07-15 16:23:50 420.54 18.80 16.33 50.34 99.12 0.0766 0.1072
2016-07-15 16:23:51 421.07 18.89 16.41 50.34 99.14 0.0767 0.1076
2016-07-15 16:23:52 422.95 19.01 16.51 50.34 99.16 0.0769 0.1081
2016-07-15 16:23:53 423.90 19.12 16.60 50.34 99.16 0.0771 0.1085
2016-07-15 16:23:54 424.56 19.21 16.68 50.34 99.16 0.0772 0.1088
2016-07-15 16:23:55 424.72 19.33 16.78 50.34 99.16 0.0772 0.1093
2016-07-15 16:23:56 427.06 19.43 16.85 50.34 99.14 0.0775 0.1096
2016-07-15 16:23:57 427.20 19.52 16.93 50.34 99.16 0.0775 0.1100
2016-07-15 16:23:58 428.61 19.62 17.01 50.34 99.14 0.0777 0.1103
2016-07-15 16:23:59 429.37 19.73 17.10 50.34 99.16 0.0778 0.1108
2016-07-15 16:24:00 429.89 19.77 17.13 50.34 99.16 0.0779 0.1109
2016-07-15 16:24:01 430.90 19.88 17.22 50.34 99.16 0.0780 0.1113
2016-07-15 16:24:02 431.14 19.94 17.26 50.34 99.16 0.0780 0.1115
2016-07-15 16:24:03 432.87 20.00 17.31 50.34 99.14 0.0782 0.1117
2016-07-15 16:24:04 433.70 20.05 17.35 50.34 99.16 0.0784 0.1119
2016-07-15 16:24:05 435.88 20.13 17.41 50.34 99.14 0.0786 0.1122
2016-07-15 16:24:06 435.39 20.15 17.43 50.34 99.16 0.0786 0.1123
2016-07-15 16:24:07 436.60 20.21 17.47 50.34 99.14 0.0787 0.1125
2016-07-15 16:24:08 436.18 20.23 17.49 50.34 99.16 0.0787 0.1126
2016-07-15 16:24:09 437.21 20.25 17.50 50.34 99.16 0.0788 0.1127
2016-07-15 16:24:10 437.43 20.27 17.52 50.34 99.16 0.0789 0.1127
2016-07-15 16:24:11 438.27 20.30 17.55 50.34 99.16 0.0790 0.1128
2016-07-15 16:24:12 438.75 20.32 17.56 50.34 99.14 0.0790 0.1129
2016-07-15 16:24:13 439.66 20.35 17.58 50.34 99.14 0.0791 0.1130
2016-07-15 16:24:14 439.79 20.37 17.60 50.34 99.16 0.0792 0.1131
2016-07-15 16:24:15 439.92 20.40 17.62 50.34 99.16 0.0792 0.1132
2016-07-15 16:24:16 441.50 20.42 17.64 50.34 99.16 0.0794 0.1133
2016-07-15 16:24:17 441.32 20.44 17.66 50.34 99.16 0.0794 0.1134
2016-07-15 16:24:18 442.33 20.48 17.68 50.37 99.16 0.0795 0.1135
2016-07-15 16:24:19 442.51 20.50 17.70 50.37 99.14 0.0795 0.1135
2016-07-15 16:24:20 443.69 20.54 17.73 50.37 99.14 0.0796 0.1137
2016-07-15 16:24:21 443.23 20.56 17.75 50.37 99.16 0.0796 0.1138
2016-07-15 16:24:22 444.46 20.59 17.77 50.37 99.16 0.0798 0.1139
2016-07-15 16:24:23 444.42 20.59 17.78 50.37 99.16 0.0798 0.1139
2016-07-15 16:24:24 444.86 20.62 17.80 50.37 99.16 0.0798 0.1140
2016-07-15 16:24:25 445.12 20.63 17.80 50.37 99.14 0.0798 0.1140
2016-07-15 16:24:26 445.86 20.64 17.81 50.37 99.14 0.0799 0.1141
2016-07-15 16:24:27 446.13 20.65 17.82 50.37 99.12 0.0799 0.1141
2016-07-15 16:24:28 446.63 20.68 17.84 50.37 99.14 0.0800 0.1142
2016-07-15 16:24:29 447.15 20.67 17.84 50.37 99.16 0.0801 0.1142
2016-07-15 16:24:30 447.55 20.69 17.85 50.34 99.16 0.0802 0.1143
2016-07-15 16:24:31 447.48 20.71 17.86 50.34 99.16 0.0802 0.1143
2016-07-15 16:24:32 447.92 20.73 17.88 50.37 99.16 0.0802 0.1144
2016-07-15 16:24:33 447.80 20.74 17.88 50.37 99.14 0.0802 0.1144
2016-07-15 16:24:34 448.18 20.75 17.90 50.37 99.16 0.0803 0.1145
2016-07-15 16:24:35 448.90 20.77 17.91 50.37 99.14 0.0803 0.1145
2016-07-15 16:24:36 448.98 20.78 17.92 50.37 99.16 0.0804 0.1146
2016-07-15 16:24:37 449.27 20.78 17.92 50.34 99.16 0.0804 0.1146
2016-07-15 16:24:38 449.31 20.79 17.93 50.34 99.16 0.0804 0.1146
2016-07-15 16:24:39 448.98 20.79 17.92 50.34 99.16 0.0804 0.1146
2016-07-15 16:24:40 449.21 20.79 17.93 50.34 99.16 0.0804 0.1146
2016-07-15 16:24:41 448.99 20.81 17.94 50.34 99.16 0.0804 0.1147
2016-07-15 16:24:42 449.37 20.82 17.95 50.37 99.14 0.0804 0.1147
2016-07-15 16:24:43 448.82 20.82 17.95 50.34 99.14 0.0803 0.1147
2016-07-15 16:24:44 448.25 20.82 17.95 50.34 99.16 0.0803 0.1147
2016-07-15 16:24:45 449.03 20.83 17.95 50.34 99.16 0.0804 0.1148
2016-07-15 16:24:46 448.20 20.83 17.95 50.34 99.16 0.0803 0.1147
2016-07-15 16:24:47 448.55 20.83 17.96 50.34 99.16 0.0803 0.1148
2016-07-15 16:24:48 449.27 20.84 17.97 50.37 99.16 0.0804 0.1148
2016-07-15 16:24:49 449.39 20.86 17.98 50.37 99.14 0.0804 0.1148
2016-07-15 16:24:50 448.78 20.86 17.97 50.37 99.14 0.0803 0.1148
2016-07-15 16:24:51 448.85 20.85 17.97 50.34 99.16 0.0803 0.1148
2016-07-15 16:24:52 449.22 20.87 17.98 50.34 99.14 0.0804 0.1149
2016-07-15 16:24:53 448.20 20.87 17.99 50.34 99.16 0.0803 0.1149
2016-07-15 16:24:54 449.07 20.87 17.98 50.34 99.14 0.0804 0.1149
2016-07-15 16:24:55 448.38 20.87 17.99 50.34 99.16 0.0803 0.1149
2016-07-15 16:24:56 449.05 20.89 18.00 50.37 99.14 0.0803 0.1149
2016-07-15 16:24:57 449.52 20.89 18.00 50.40 99.14 0.0804 0.1150
2016-07-15 16:24:58 449.63 20.90 18.00 50.37 99.14 0.0804 0.1150
2016-07-15 16:24:59 449.09 20.90 18.01 50.34 99.16 0.0804 0.1150
2016-07-15 16:25:00 449.75 20.92 18.02 50.34 99.14 0.0804 0.1151
2016-07-15 16:25:01 449.75 20.92 18.02 50.34 99.16 0.0805 0.1151
2016-07-15 16:25:02 449.03 20.92 18.03 50.34 99.16 0.0804 0.1151
2016-07-15 16:25:03 448.86 20.91 18.02 50.34 99.16 0.0803 0.1151
2016-07-15 16:25:04 449.13 20.93 18.03 50.37 99.14 0.0804 0.1151
2016-07-15 16:25:05 448.44 20.93 18.03 50.34 99.14 0.0803 0.1151
2016-07-15 16:25:06 448.49 20.93 18.03 50.34 99.16 0.0803 0.1151
2016-07-15 16:25:07 448.33 20.94 18.04 50.34 99.16 0.0803 0.1152
2016-07-15 16:25:08 449.60 20.98 18.06 50.34 99.14 0.0804 0.1153
2016-07-15 16:25:09 449.93 20.99 18.07 50.34 99.14 0.0805 0.1153
2016-07-15 16:25:10 449.88 20.98 18.07 50.34 99.14 0.0805 0.1153
2016-07-15 16:25:11 450.33 20.98 18.07 50.37 99.16 0.0805 0.1153
2016-07-15 16:25:12 450.15 20.99 18.07 50.34 99.14 0.0805 0.1153
2016-07-15 16:25:13 449.96 20.99 18.08 50.34 99.14 0.0805 0.1153
2016-07-15 16:25:14 449.15 21.00 18.08 50.34 99.16 0.0804 0.1154
2016-07-15 16:25:15 449.32 21.00 18.09 50.34 99.19 0.0804 0.1154
2016-07-15 16:25:16 448.44 21.00 18.09 50.34 99.19 0.0803 0.1154
2016-07-15 16:25:17 448.96 21.00 18.09 50.34 99.16 0.0804 0.1154
2016-07-15 16:25:18 450.39 21.03 18.10 50.34 99.14 0.0805 0.1154
