"2016-07-22 at 15:50"
Date(Y-M-D) Time(H:M:S) CO2(ppm) H2O(ppt) H2O(C) Cell_Temperature(C) Cell_Pressure(kPa) CO2_Absorption H2O_Absorption
2016-07-22 15:50:46 386.67 11.72 8.78 50.34 96.85 0.0702 0.0758
2016-07-22 15:50:48 384.01 11.62 8.66 50.34 96.85 0.0699 0.0754
2016-07-22 15:50:49 382.95 11.61 8.64 50.34 96.87 0.0697 0.0753
2016-07-22 15:50:50 382.07 11.58 8.60 50.34 96.86 0.0696 0.0752
2016-07-22 15:50:51 382.27 11.57 8.59 50.34 96.86 0.0696 0.0751
2016-07-22 15:50:52 381.97 11.59 8.61 50.34 96.86 0.0696 0.0752
2016-07-22 15:50:53 381.80 11.57 8.59 50.34 96.84 0.0696 0.0751
2016-07-22 15:50:54 382.35 11.60 8.62 50.34 96.82 0.0696 0.0752
2016-07-22 15:50:55 381.36 11.59 8.61 50.34 96.86 0.0695 0.0752
2016-07-22 15:50:56 381.01 11.61 8.63 50.34 96.86 0.0695 0.0753
2016-07-22 15:50:57 380.70 11.63 8.67 50.34 96.86 0.0694 0.0754
2016-07-22 15:50:58 380.71 11.72 8.78 50.34 96.86 0.0694 0.0758
2016-07-22 15:50:59 380.94 11.81 8.88 50.34 96.84 0.0694 0.0762
2016-07-22 15:51:00 382.83 11.92 9.02 50.34 96.84 0.0697 0.0767
2016-07-22 15:51:01 383.55 12.00 9.13 50.34 96.86 0.0698 0.0771
2016-07-22 15:51:02 385.82 12.11 9.26 50.34 96.85 0.0701 0.0776
2016-07-22 15:51:03 387.82 12.18 9.34 50.34 96.84 0.0704 0.0779
2016-07-22 15:51:04 389.33 12.23 9.41 50.34 96.84 0.0706 0.0781
2016-07-22 15:51:05 389.80 12.29 9.48 50.34 96.86 0.0707 0.0784
2016-07-22 15:51:06 395.92 12.37 9.58 50.34 96.86 0.0715 0.0788
2016-07-22 15:51:07 395.81 12.41 9.62 50.34 96.86 0.0715 0.0789
2016-07-22 15:51:08 396.20 12.46 9.68 50.34 96.86 0.0715 0.0792
2016-07-22 15:51:09 396.12 12.50 9.73 50.34 96.84 0.0715 0.0794
2016-07-22 15:51:10 396.76 12.55 9.78 50.34 96.84 0.0716 0.0796
2016-07-22 15:51:11 392.08 12.59 9.84 50.34 96.84 0.0709 0.0797
2016-07-22 15:51:12 391.82 12.64 9.89 50.34 96.84 0.0709 0.0800
2016-07-22 15:51:13 391.70 12.65 9.91 50.34 96.86 0.0709 0.0800
2016-07-22 15:51:14 392.64 12.70 9.97 50.34 96.86 0.0710 0.0803
2016-07-22 15:51:15 392.88 12.74 10.01 50.34 96.84 0.0711 0.0804
2016-07-22 15:51:16 393.65 12.77 10.05 50.34 96.84 0.0712 0.0806
2016-07-22 15:51:17 394.37 12.82 10.10 50.34 96.84 0.0713 0.0808
2016-07-22 15:51:18 394.86 12.86 10.16 50.34 96.84 0.0713 0.0810
2016-07-22 15:51:19 395.05 12.88 10.18 50.34 96.86 0.0714 0.0811
2016-07-22 15:51:20 395.03 12.91 10.21 50.34 96.84 0.0713 0.0812
2016-07-22 15:51:21 395.33 12.94 10.24 50.34 96.84 0.0714 0.0813
2016-07-22 15:51:22 395.72 12.95 10.26 50.34 96.84 0.0714 0.0814
2016-07-22 15:51:23 396.07 12.96 10.27 50.34 96.84 0.0715 0.0814
2016-07-22 15:51:24 396.39 12.97 10.28 50.34 96.85 0.0715 0.0814
2016-07-22 15:51:25 397.09 13.01 10.33 50.34 96.86 0.0716 0.0816
2016-07-22 15:51:26 397.26 13.03 10.35 50.34 96.86 0.0717 0.0817
2016-07-22 15:51:27 397.39 13.04 10.36 50.34 96.86 0.0717 0.0818
2016-07-22 15:51:28 397.57 13.05 10.39 50.34 96.88 0.0717 0.0819
2016-07-22 15:51:29 398.22 13.08 10.41 50.34 96.86 0.0718 0.0820
2016-07-22 15:51:30 397.89 13.09 10.42 50.34 96.84 0.0717 0.0820
2016-07-22 15:51:31 398.68 13.11 10.43 50.34 96.82 0.0718 0.0820
2016-07-22 15:51:32 398.46 13.12 10.45 50.34 96.84 0.0718 0.0821
2016-07-22 15:51:33 398.52 13.13 10.46 50.34 96.86 0.0718 0.0821
2016-07-22 15:51:34 399.17 13.15 10.49 50.34 96.84 0.0719 0.0823
2016-07-22 15:51:35 399.48 13.16 10.50 50.34 96.86 0.0719 0.0823
2016-07-22 15:51:36 399.44 13.17 10.52 50.34 96.86 0.0719 0.0824
2016-07-22 15:51:37 400.15 13.20 10.55 50.34 96.86 0.0720 0.0825
2016-07-22 15:51:38 400.89 13.21 10.56 50.34 96.86 0.0721 0.0825
2016-07-22 15:51:39 400.64 13.23 10.58 50.34 96.84 0.0721 0.0826
2016-07-22 15:51:40 401.05 13.24 10.59 50.34 96.84 0.0721 0.0826
2016-07-22 15:51:41 401.93 13.25 10.60 50.34 96.86 0.0723 0.0827
2016-07-22 15:51:42 401.33 13.25 10.60 50.34 96.86 0.0722 0.0827
2016-07-22 15:51:43 401.01 13.25 10.60 50.34 96.86 0.0722 0.0827
2016-07-22 15:51:44 401.60 13.26 10.61 50.34 96.86 0.0722 0.0827
2016-07-22 15:51:45 401.88 13.27 10.62 50.34 96.85 0.0723 0.0828
2016-07-22 15:51:46 401.38 13.26 10.62 50.34 96.85 0.0722 0.0828
2016-07-22 15:51:47 402.02 13.27 10.63 50.34 96.84 0.0723 0.0828
2016-07-22 15:51:48 402.16 13.28 10.64 50.34 96.84 0.0723 0.0828
2016-07-22 15:51:49 401.90 13.28 10.64 50.34 96.86 0.0723 0.0828
2016-07-22 15:51:50 402.10 13.28 10.64 50.34 96.88 0.0723 0.0828
2016-07-22 15:51:51 402.77 13.30 10.66 50.34 96.86 0.0724 0.0829
2016-07-22 15:51:52 402.52 13.31 10.67 50.34 96.84 0.0723 0.0829
2016-07-22 15:51:53 403.01 13.32 10.69 50.34 96.84 0.0724 0.0830
2016-07-22 15:51:54 403.13 13.32 10.69 50.34 96.84 0.0724 0.0830
2016-07-22 15:51:55 403.29 13.34 10.70 50.34 96.86 0.0725 0.0831
2016-07-22 15:51:56 402.86 13.33 10.70 50.34 96.86 0.0724 0.0831
2016-07-22 15:51:57 403.11 13.33 10.70 50.34 96.86 0.0724 0.0831
2016-07-22 15:51:58 403.41 13.34 10.70 50.34 96.86 0.0725 0.0831
2016-07-22 15:51:59 403.39 13.35 10.71 50.34 96.84 0.0725 0.0831
2016-07-22 15:52:00 403.35 13.34 10.70 50.34 96.84 0.0724 0.0831
2016-07-22 15:52:01 403.10 13.34 10.71 50.34 96.84 0.0724 0.0831
2016-07-22 15:52:02 403.72 13.36 10.73 50.34 96.86 0.0725 0.0832
2016-07-22 15:52:03 404.01 13.36 10.73 50.34 96.86 0.0725 0.0832
2016-07-22 15:52:04 404.12 13.36 10.73 50.34 96.84 0.0725 0.0832
2016-07-22 15:52:05 408.34 13.36 10.72 50.34 96.86 0.0731 0.0832
2016-07-22 15:52:06 412.31 13.36 10.73 50.34 96.84 0.0736 0.0832
2016-07-22 15:52:07 411.87 13.35 10.71 50.34 96.86 0.0736 0.0831
2016-07-22 15:52:08 412.02 13.36 10.72 50.34 96.82 0.0736 0.0831
2016-07-22 15:52:09 412.04 13.35 10.72 50.34 96.85 0.0736 0.0831
2016-07-22 15:52:10 408.10 13.37 10.74 50.34 96.86 0.0731 0.0832
2016-07-22 15:52:11 405.32 13.37 10.74 50.34 96.88 0.0727 0.0832
2016-07-22 15:52:12 405.65 13.38 10.75 50.34 96.88 0.0728 0.0833
2016-07-22 15:52:13 405.30 13.38 10.75 50.34 96.86 0.0727 0.0832
2016-07-22 15:52:14 405.58 13.39 10.76 50.34 96.86 0.0728 0.0833
2016-07-22 15:52:15 405.83 13.40 10.77 50.34 96.85 0.0728 0.0833
2016-07-22 15:52:16 405.65 13.40 10.77 50.34 96.85 0.0728 0.0833
2016-07-22 15:52:17 405.36 13.40 10.77 50.34 96.86 0.0727 0.0833
2016-07-22 15:52:18 406.66 13.41 10.78 50.34 96.86 0.0729 0.0834
2016-07-22 15:52:19 406.78 13.40 10.77 50.34 96.84 0.0729 0.0833
2016-07-22 15:52:20 407.16 13.40 10.78 50.34 96.86 0.0730 0.0834
2016-07-22 15:52:21 407.40 13.40 10.77 50.34 96.84 0.0730 0.0833
2016-07-22 15:52:22 407.31 13.41 10.78 50.34 96.84 0.0730 0.0834
2016-07-22 15:52:23 407.71 13.42 10.79 50.34 96.84 0.0730 0.0834
2016-07-22 15:52:24 407.03 13.42 10.79 50.34 96.85 0.0729 0.0834
2016-07-22 15:52:25 407.41 13.42 10.80 50.34 96.87 0.0730 0.0835
2016-07-22 15:52:26 406.71 13.43 10.81 50.34 96.87 0.0729 0.0835
2016-07-22 15:52:27 406.78 13.43 10.81 50.34 96.86 0.0729 0.0835
2016-07-22 15:52:28 406.96 13.43 10.81 50.34 96.84 0.0729 0.0835
2016-07-22 15:52:29 407.86 13.44 10.81 50.34 96.84 0.0730 0.0835
2016-07-22 15:52:30 407.75 13.44 10.81 50.34 96.82 0.0730 0.0835
2016-07-22 15:52:31 407.92 13.44 10.82 50.34 96.85 0.0731 0.0835
2016-07-22 15:52:32 407.75 13.44 10.82 50.34 96.86 0.0730 0.0835
2016-07-22 15:52:33 408.32 13.45 10.83 50.34 96.84 0.0731 0.0835
2016-07-22 15:52:34 407.80 13.44 10.82 50.34 96.86 0.0730 0.0835
2016-07-22 15:52:35 407.88 13.45 10.83 50.34 96.86 0.0731 0.0836
2016-07-22 15:52:36 408.78 13.45 10.83 50.34 96.84 0.0732 0.0836
2016-07-22 15:52:37 409.38 13.46 10.84 50.34 96.86 0.0733 0.0836
2016-07-22 15:52:38 409.14 13.46 10.84 50.34 96.85 0.0732 0.0836
2016-07-22 15:52:39 409.56 13.46 10.84 50.34 96.87 0.0733 0.0836
2016-07-22 15:52:40 409.87 13.47 10.85 50.34 96.87 0.0733 0.0837
2016-07-22 15:52:41 409.09 13.46 10.84 50.34 96.87 0.0732 0.0836
2016-07-22 15:52:42 409.15 13.45 10.84 50.34 96.87 0.0732 0.0836
2016-07-22 15:52:43 409.44 13.46 10.84 50.34 96.87 0.0733 0.0836
2016-07-22 15:52:44 409.71 13.46 10.84 50.34 96.87 0.0733 0.0836
2016-07-22 15:52:45 410.18 13.45 10.84 50.34 96.87 0.0734 0.0836
2016-07-22 15:52:46 409.64 13.46 10.84 50.34 96.85 0.0733 0.0836
2016-07-22 15:52:47 410.55 13.45 10.83 50.34 96.85 0.0734 0.0836
2016-07-22 15:52:48 411.06 13.44 10.83 50.34 96.87 0.0735 0.0835
2016-07-22 15:52:49 410.80 13.44 10.82 50.34 96.87 0.0735 0.0835
2016-07-22 15:52:50 410.71 13.44 10.82 50.34 96.85 0.0734 0.0835
2016-07-22 15:52:51 411.61 13.45 10.83 50.34 96.87 0.0736 0.0836
2016-07-22 15:52:52 411.32 13.46 10.84 50.34 96.85 0.0735 0.0836
2016-07-22 15:52:53 410.72 13.46 10.84 50.34 96.85 0.0734 0.0836
2016-07-22 15:52:54 411.55 13.48 10.86 50.34 96.85 0.0735 0.0837
2016-07-22 15:52:55 411.48 13.48 10.86 50.34 96.85 0.0735 0.0837
2016-07-22 15:52:56 411.50 13.49 10.87 50.34 96.87 0.0735 0.0837
2016-07-22 15:52:57 411.81 13.49 10.87 50.34 96.85 0.0736 0.0837
2016-07-22 15:52:58 412.35 13.49 10.88 50.34 96.87 0.0737 0.0838
2016-07-22 15:52:59 412.06 13.49 10.88 50.34 96.85 0.0736 0.0837
2016-07-22 15:53:00 412.73 13.50 10.88 50.34 96.85 0.0737 0.0838
2016-07-22 15:53:01 412.97 13.50 10.88 50.34 96.85 0.0737 0.0838
2016-07-22 15:53:02 413.22 13.51 10.89 50.34 96.85 0.0738 0.0838
